model_name,train_missing_prop,test_missing_prop,seed,outer_fold,inner_model_idx,replicate_id,n_patients,auc
Di-PAM,0.0,0.0,4,1,1,4|outer_1|inner_1,57,0.6530864197530865
Di-PAM,0.0,0.0,4,1,2,4|outer_1|inner_2,57,0.6493827160493827
Di-PAM,0.0,0.0,4,1,3,4|outer_1|inner_3,57,0.6530864197530865
Di-PAM,0.0,0.0,4,1,4,4|outer_1|inner_4,57,0.6444444444444445
Di-PAM,0.0,0.0,4,1,5,4|outer_1|inner_5,57,0.5481481481481483
Di-PAM,0.0,0.0,4,2,1,4|outer_2|inner_1,56,0.5810983397190295
Di-PAM,0.0,0.0,4,2,2,4|outer_2|inner_2,56,0.5747126436781609
Di-PAM,0.0,0.0,4,2,3,4|outer_2|inner_3,56,0.5977011494252874
Di-PAM,0.0,0.0,4,2,4,4|outer_2|inner_4,56,0.5172413793103449
Di-PAM,0.0,0.0,4,2,5,4|outer_2|inner_5,56,0.6168582375478927
Di-PAM,0.0,0.0,4,3,1,4|outer_3|inner_1,56,0.6168582375478927
Di-PAM,0.0,0.0,4,3,2,4|outer_3|inner_2,56,0.5644955300127714
Di-PAM,0.0,0.0,4,3,3,4|outer_3|inner_3,56,0.5159642401021711
Di-PAM,0.0,0.0,4,3,4,4|outer_3|inner_4,56,0.5721583652618136
Di-PAM,0.0,0.0,4,3,5,4|outer_3|inner_5,56,0.5491698595146871
Di-PAM,0.0,0.0,4,4,1,4|outer_4|inner_1,56,0.6615581098339719
Di-PAM,0.0,0.0,4,4,2,4|outer_4|inner_2,56,0.5938697318007663
Di-PAM,0.0,0.0,4,4,3,4|outer_4|inner_3,56,0.6551724137931034
Di-PAM,0.0,0.0,4,4,4,4|outer_4|inner_4,56,0.5389527458492976
Di-PAM,0.0,0.0,4,4,5,4|outer_4|inner_5,56,0.5338441890166028
Di-PAM,0.0,0.0,4,5,1,4|outer_5|inner_1,56,0.691025641025641
Di-PAM,0.0,0.0,4,5,2,4|outer_5|inner_2,56,0.6089743589743589
Di-PAM,0.0,0.0,4,5,3,4|outer_5|inner_3,56,0.708974358974359
Di-PAM,0.0,0.0,4,5,4,4|outer_5|inner_4,56,0.6705128205128205
Di-PAM,0.0,0.0,4,5,5,4|outer_5|inner_5,56,0.7038461538461538
Di-PAM,0.0,0.0,22,1,1,22|outer_1|inner_1,57,0.5901234567901235
Di-PAM,0.0,0.0,22,1,2,22|outer_1|inner_2,57,0.5666666666666667
Di-PAM,0.0,0.0,22,1,3,22|outer_1|inner_3,57,0.36049382716049383
Di-PAM,0.0,0.0,22,1,4,22|outer_1|inner_4,57,0.5839506172839506
Di-PAM,0.0,0.0,22,1,5,22|outer_1|inner_5,57,0.528395061728395
Di-PAM,0.0,0.0,22,2,1,22|outer_2|inner_1,56,0.5389527458492975
Di-PAM,0.0,0.0,22,2,2,22|outer_2|inner_2,56,0.5478927203065135
Di-PAM,0.0,0.0,22,2,3,22|outer_2|inner_3,56,0.628352490421456
Di-PAM,0.0,0.0,22,2,4,22|outer_2|inner_4,56,0.6360153256704981
Di-PAM,0.0,0.0,22,2,5,22|outer_2|inner_5,56,0.5427841634738186
Di-PAM,0.0,0.0,22,3,1,22|outer_3|inner_1,56,0.6692209450830141
Di-PAM,0.0,0.0,22,3,2,22|outer_3|inner_2,56,0.5913154533844188
Di-PAM,0.0,0.0,22,3,3,22|outer_3|inner_3,56,0.6577266922094508
Di-PAM,0.0,0.0,22,3,4,22|outer_3|inner_4,56,0.665389527458493
Di-PAM,0.0,0.0,22,3,5,22|outer_3|inner_5,56,0.6909323116219668
Di-PAM,0.0,0.0,22,4,1,22|outer_4|inner_1,56,0.722860791826309
Di-PAM,0.0,0.0,22,4,2,22|outer_4|inner_2,56,0.7394636015325671
Di-PAM,0.0,0.0,22,4,3,22|outer_4|inner_3,56,0.6590038314176245
